threshold,input_length_days,washout_days,algo,val_roc_auc_mean,val_roc_auc_std,val_pr_auc_mean,val_pr_auc_std,n_shuffles
2,3,0,lr,0.4481481481481481,0.25679633702715154,0.010303517914250888,0.005630167490162157,5
2,3,0,rf,0.5518518518518519,0.2582528415687357,0.014035559229981853,0.009705257553739051,5
2,3,0,xgb,0.44722222222222224,0.2849498487869947,0.011663466456891008,0.008995478941565502,5
2,3,7,lr,0.3935185185185185,0.2999092512492918,0.01016483145989154,0.007286405174925303,5
2,3,7,rf,0.49444444444444446,0.3682433133949377,0.021726630162539312,0.02465693748395468,5
2,3,7,xgb,0.4333333333333334,0.4382354684285056,0.037583976917179844,0.05977504992754727,5
2,3,14,lr,0.325,0.13819851566681277,0.006997191783486503,0.0012116789299672285,5
2,3,14,rf,0.5611111111111111,0.38212187236919,0.028668382668382668,0.03297132923968711,5
2,3,14,xgb,0.5157407407407407,0.18305634003840973,0.010544792952673512,0.003727429263922574,5
2,7,0,lr,0.39900990099009903,0.2664221953918847,0.009449893855427785,0.0038178359784583884,5
2,7,0,rf,0.41138613861386136,0.4188525481742326,0.01845782880258035,0.0185211097706574,5
2,7,0,xgb,0.5084158415841584,0.3187288496512972,0.01668789077909583,0.01558591245503659,5
2,7,7,lr,0.7960396039603961,0.12183650080392291,0.0664370169365825,0.1027491736713945,5
2,7,7,rf,0.39702970297029705,0.1738110281386017,0.008765932429777027,0.002739287732171409,5
2,7,7,xgb,0.5257425742574258,0.3281248468287065,0.017744169059958535,0.016276433283759873,5
2,7,14,lr,0.7613861386138614,0.269958624705776,0.041892130857648105,0.03496016077012765,5
2,7,14,rf,0.4772277227722772,0.16917370706594761,0.0106986050986051,0.0052701556668926335,5
2,7,14,xgb,0.5217821782178218,0.29290870633030647,0.0155453370580868,0.013213361013359246,5
2,14,0,lr,0.4994535519125683,0.25544913895663746,0.013685761315864003,0.00739233743275956,5
2,14,0,rf,0.644808743169399,0.31542884567566803,0.041963596249310536,0.049469529874409786,5
2,14,0,xgb,0.6786885245901639,0.233167548378349,0.21364135552953267,0.43970384223492337,5
2,14,7,lr,0.5639344262295082,0.41011647966087195,0.11240007939515329,0.2168725275687677,5
2,14,7,rf,0.42950819672131146,0.19041971366814767,0.010273842861972811,0.0030626834454885845,5
2,14,7,xgb,0.6207650273224044,0.3047054510938459,0.025669590643274853,0.020003848036162696,5
2,14,14,lr,0.5595628415300546,0.3038958914350091,0.020300255416925587,0.015523762989240401,5
2,14,14,rf,0.4950819672131148,0.39143766618048204,0.026064705245032748,0.02608215745909446,5
2,14,14,xgb,0.42513661202185793,0.23574659688193506,0.010897934967955264,0.004853191590971213,5
3,3,0,lr,0.4,0.3168777723882583,0.01055701696476596,0.006990726867281954,5
3,3,0,rf,0.3037037037037037,0.14957358227900752,0.006846168763142814,0.0014224245152913604,5
3,3,0,xgb,0.3851851851851852,0.2626554996999562,0.010302689410781895,0.008624413094725053,5
3,3,7,lr,0.6601851851851852,0.3003484487593596,0.023586081515581534,0.01824613395429537,5
3,3,7,rf,0.3925925925925926,0.3322932590554877,0.018453172843416746,0.026977240235031986,5
3,3,7,xgb,0.4930555555555555,0.23460850850592457,0.01091580939139479,0.005278164302786153,5
3,3,14,lr,0.586111111111111,0.28048163217518235,0.01768663725835461,0.013259709912541644,5
3,3,14,rf,0.5976851851851852,0.43875481426080903,0.039303016422958095,0.03980744901702962,5
3,3,14,xgb,0.4726851851851852,0.3586782960083239,0.012304591972727253,0.0069149809070083125,5
3,7,0,lr,0.36336633663366336,0.3380430600964391,0.012488317031157006,0.01247993447662574,5
3,7,0,rf,0.5113861386138614,0.35241475173364456,0.023085137085137087,0.0278416693674645,5
3,7,0,xgb,0.453960396039604,0.3890219840927251,0.013274021561210936,0.007802727472875347,5
3,7,7,lr,0.22772277227722776,0.15588164845379993,0.006575713774670118,0.0013089920848523824,5
3,7,7,rf,0.7207920792079208,0.2325837198653367,0.07226021794595074,0.10333716383863596,5
3,7,7,xgb,0.7752475247524753,0.14858084342419062,0.028849602944974618,0.014775925805192559,5
3,7,14,lr,0.3574257425742574,0.253888492706448,0.008803313555686284,0.003942658446784319,5
3,7,14,rf,0.6445544554455445,0.3122031969607777,0.020200688663577358,0.01024058311608648,5
3,7,14,xgb,0.5801980198019802,0.3713432300849822,0.037410286075315796,0.04502962967626712,5
3,14,0,lr,0.4808743169398907,0.18787009221498455,0.011433907529279199,0.0036886048504275884,5
3,14,0,rf,0.6262295081967213,0.344318670030681,0.21460644950006652,0.439218967974646,5
3,14,0,xgb,0.6655737704918032,0.23335956648581394,0.047244219551619934,0.06771902814659214,5
3,14,7,lr,0.16502732240437157,0.15155439948370555,0.00668995651436273,0.0013063875047623725,5
3,14,7,rf,0.3256830601092896,0.2556244202875868,0.009648836322701148,0.005545730543596442,5
3,14,7,xgb,0.3726775956284153,0.15066516200447475,0.009067678581822112,0.0022848733005267187,5
3,14,14,lr,0.47103825136612015,0.3061426336405009,0.013854373440378135,0.008332619500152317,5
3,14,14,rf,0.4415300546448087,0.2916057127795017,0.014593611442537435,0.013466908699989273,5
3,14,14,xgb,0.6163934426229508,0.2935703032458045,0.022479673645567456,0.016191164822267533,5
4,3,0,lr,0.6518518518518518,0.16907341487032254,0.017548938516680455,0.012385255060730217,5
4,3,0,rf,0.6074074074074074,0.2895721383690356,0.032460241856526684,0.04468914074571483,5
4,3,0,xgb,0.45925925925925926,0.3810159871208831,0.10634691857107499,0.2200841003070722,5
4,3,7,lr,0.7712962962962964,0.21222193943488366,0.06023287589303826,0.06820340615134715,5
4,3,7,rf,0.500925925925926,0.41482876547308434,0.030238905736190407,0.03528907365194379,5
4,3,7,xgb,0.5773148148148148,0.2346747340375832,0.01399750590521276,0.008569138697427764,5
4,3,14,lr,0.611111111111111,0.3181839058506681,0.04945512993510511,0.08430705167735686,5
4,3,14,rf,0.5148148148148148,0.2206590468392108,0.010981275628258107,0.004373998508166134,5
4,3,14,xgb,0.6050925925925925,0.19657943852696674,0.01464339578543845,0.008380252434939617,5
4,7,0,lr,0.4861386138613861,0.3502873188742932,0.014773035612707047,0.010223391290593105,5
4,7,0,rf,0.449009900990099,0.36106217677907104,0.015183568243350853,0.014394442245899067,5
4,7,0,xgb,0.46782178217821785,0.3910421077158598,0.015487660639604902,0.012488692240473775,5
4,7,7,lr,0.4193069306930693,0.45903530414332605,0.049521259443523126,0.08485983938515042,5
4,7,7,rf,0.4,0.27692699389027325,0.010495774647977584,0.007032110433674731,5
4,7,7,xgb,0.39603960396039606,0.3566246748472831,0.015412764229029444,0.018134170013429717,5
4,7,14,lr,0.48415841584158414,0.2945731752101286,0.0140328108346503,0.011321355117689651,5
4,7,14,rf,0.6485148514851485,0.29754493267750765,0.052236544740870916,0.08296336181493207,5
4,7,14,xgb,0.598019801980198,0.17218189008774645,0.01645820374267894,0.013244537225510533,5
4,14,0,lr,0.6524590163934427,0.1680538882303489,0.01907830237358101,0.009664970156234406,5
4,14,0,rf,0.6087431693989072,0.3893725423532463,0.0703581257042642,0.10391731002769194,5
4,14,0,xgb,0.5333333333333334,0.40334754399077893,0.11087866428864934,0.21770336620361075,5
4,14,7,lr,0.5387978142076503,0.36708949259231083,0.02808838383838384,0.03238186118701815,5
4,14,7,rf,0.38032786885245906,0.2410991259989069,0.010298814125247246,0.005645656262647701,5
4,14,7,xgb,0.40983606557377045,0.29128809846617737,0.013656228828642623,0.012474126213219798,5
4,14,14,lr,0.4371584699453551,0.2070021521844351,0.010945642432490998,0.004713434473491628,5
4,14,14,rf,0.3584699453551912,0.15641211468194513,0.00890868885153286,0.0024088703658671708,5
4,14,14,xgb,0.3251366120218579,0.1397988940488091,0.008326483168846929,0.0018796465416905826,5
