sensor_tag,threshold,input_length_days,washout_days,n_features,n_train,n_val,n_test,train_users,val_users,test_users,train_positive,val_positive,test_positive,seed,algo,params,param_C,param_class_weight,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_brier,param_n_estimators,param_max_depth,param_min_samples_leaf,param_learning_rate,param_subsample,param_scale_pos_weight
all,4,14,7,427,671,184,339,11,3,4,50,1,4,42,rf,class_weight=balanced;max_depth=None;min_samples_leaf=1;n_estimators=200,,balanced,0.9945652173913043,0.0,0.0,0.0,0.9890710382513661,0.25,0.061929891304347826,200.0,,1.0,,,
all,3,14,0,427,710,184,350,11,3,4,48,1,4,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=500,,balanced,0.9945652173913043,0.0,0.0,0.0,0.9836065573770492,0.25,0.06714926930399372,500.0,10.0,1.0,,,
all,2,14,0,427,713,184,348,11,3,4,51,1,2,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=500,,balanced,0.9782608695652174,0.0,0.0,0.0,0.9781420765027322,0.2,0.10429431855986836,500.0,6.0,1.0,,,
all,3,14,7,427,665,184,338,11,3,4,48,1,4,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=200,,balanced,0.9945652173913043,0.0,0.0,0.0,0.9071038251366119,0.05555555555555555,0.09204325384992677,200.0,6.0,1.0,,,
all,4,14,0,427,712,184,350,11,3,4,50,1,4,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=5;n_estimators=500,,balanced,0.9891304347826086,0.0,0.0,0.0,0.8852459016393441,0.045454545454545456,0.11280380163789969,500.0,6.0,5.0,,,
all,4,3,0,427,962,217,410,13,3,4,54,1,5,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=200,,balanced,0.9953917050691244,0.0,0.0,0.0,0.8935185185185185,0.03571428571428571,0.0215384048517157,200.0,10.0,1.0,,,
all,4,14,0,427,712,184,350,11,3,4,50,1,4,42,xgb,learning_rate=0.05;max_depth=6;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.7608695652173914,0.022222222222222223,1.0,0.043478260869565216,0.8469945355191256,0.034482758620689655,0.16315887436225876,200.0,6.0,,0.05,0.7,auto
all,3,14,0,427,710,184,350,11,3,4,48,1,4,42,xgb,learning_rate=0.05;max_depth=6;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.592391304347826,0.013157894736842105,1.0,0.025974025974025976,0.819672131147541,0.029411764705882353,0.27062710636103054,200.0,6.0,,0.05,0.7,auto
all,2,14,7,427,664,184,336,11,3,4,51,1,2,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=500,,balanced,0.9836956521739131,0.0,0.0,0.0,0.7814207650273224,0.024390243902439025,0.09270851810184164,500.0,10.0,1.0,,,
all,3,7,7,427,777,203,372,13,3,4,49,1,5,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=500,,balanced,0.9950738916256158,0.0,0.0,0.0,0.7772277227722773,0.02127659574468085,0.03802123721161539,500.0,10.0,1.0,,,
all,3,14,7,427,665,184,338,11,3,4,48,1,4,42,xgb,learning_rate=0.1;max_depth=6;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.4945652173913043,0.010638297872340425,1.0,0.021052631578947368,0.7486338797814207,0.02127659574468085,0.36678327477940426,200.0,6.0,,0.1,0.7,auto
all,3,14,14,427,616,184,324,11,3,4,48,1,4,42,rf,class_weight=balanced;max_depth=None;min_samples_leaf=5;n_estimators=200,,balanced,0.9402173913043478,0.0,0.0,0.0,0.7486338797814207,0.02127659574468085,0.14001135999694297,200.0,,5.0,,,
all,3,7,14,427,717,203,360,13,3,4,49,1,5,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=200,,balanced,0.9950738916256158,0.0,0.0,0.0,0.7574257425742574,0.0196078431372549,0.04000861355955192,200.0,10.0,1.0,,,
all,4,14,7,427,671,184,339,11,3,4,50,1,4,42,xgb,learning_rate=0.05;max_depth=6;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.782608695652174,0.0,0.0,0.0,0.726775956284153,0.0196078431372549,0.1491414479287355,200.0,6.0,,0.05,0.7,auto
all,3,7,0,427,854,203,386,13,3,4,49,1,5,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=500,,balanced,0.9950738916256158,0.0,0.0,0.0,0.7376237623762376,0.01818181818181818,0.061953511712246445,500.0,6.0,1.0,,,
all,2,14,14,427,615,184,322,11,3,4,51,1,2,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=500,,balanced,0.9130434782608695,0.0,0.0,0.0,0.6830601092896175,0.01694915254237288,0.13942292345662763,500.0,6.0,1.0,,,
all,4,7,0,427,856,203,386,13,3,4,51,1,5,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=200,,balanced,0.9950738916256158,0.0,0.0,0.0,0.707920792079208,0.01639344262295082,0.05559246413502014,200.0,6.0,1.0,,,
all,3,3,0,427,961,217,410,13,3,4,53,1,5,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=500,,balanced,0.9953917050691244,0.0,0.0,0.0,0.7314814814814815,0.015873015873015872,0.028249960942741424,500.0,10.0,1.0,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=500,,balanced,0.9953917050691244,0.0,0.0,0.0,0.7268518518518519,0.015625,0.031078673532201433,500.0,10.0,1.0,,,
all,4,3,7,427,876,217,397,13,3,4,54,1,5,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=500,,balanced,0.9953917050691244,0.0,0.0,0.0,0.7268518518518517,0.015625,0.02931180220201523,500.0,10.0,1.0,,,
all,4,14,14,427,622,184,325,11,3,4,50,1,4,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=500,,balanced,0.9945652173913043,0.0,0.0,0.0,0.6502732240437159,0.015384615384615385,0.10996570195261665,500.0,6.0,1.0,,,
all,2,3,7,427,867,217,394,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=500,,balanced,0.9953917050691244,0.0,0.0,0.0,0.7083333333333333,0.014705882352941176,0.06406927498015133,500.0,6.0,1.0,,,
all,4,14,14,427,622,184,325,11,3,4,50,1,4,42,xgb,learning_rate=0.1;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=1.0,,,0.6358695652173914,0.0,0.0,0.0,0.5792349726775956,0.01282051282051282,0.27139785251356596,200.0,3.0,,0.1,1.0,auto
all,2,7,0,427,857,203,384,13,3,4,52,1,3,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=500,,balanced,0.9802955665024631,0.0,0.0,0.0,0.5940594059405941,0.011904761904761904,0.06873011969490418,500.0,6.0,1.0,,,
all,4,7,7,427,783,203,373,13,3,4,51,1,5,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=1.0,,,0.9556650246305419,0.0,0.0,0.0,0.5742574257425743,0.011363636363636364,0.027882347183185406,200.0,3.0,,0.05,1.0,auto
all,4,3,14,427,789,217,385,13,3,4,54,1,5,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=200,,balanced,0.9953917050691244,0.0,0.0,0.0,0.5833333333333334,0.010526315789473684,0.034632893686009886,200.0,10.0,1.0,,,
all,4,7,7,427,783,203,373,13,3,4,51,1,5,42,rf,class_weight=balanced;max_depth=None;min_samples_leaf=1;n_estimators=500,,balanced,0.9950738916256158,0.0,0.0,0.0,0.5297029702970297,0.010309278350515464,0.032682972454926476,500.0,,1.0,,,
all,2,7,7,427,773,203,370,13,3,4,52,1,3,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=500,,balanced,0.9950738916256158,0.0,0.0,0.0,0.5198019801980198,0.010101010101010102,0.051545317697169864,500.0,10.0,1.0,,,
all,3,14,14,427,616,184,324,11,3,4,48,1,4,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=500;scale_pos_weight=1.0;subsample=1.0,,,0.8532608695652174,0.0,0.0,0.0,0.4590163934426229,0.01,0.11324025715085108,500.0,3.0,,0.05,1.0,1.0
all,4,7,0,427,856,203,386,13,3,4,51,1,5,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=1.0,,,0.9704433497536946,0.0,0.0,0.0,0.5099009900990099,0.009900990099009901,0.03494333918603266,200.0,3.0,,0.05,1.0,auto
all,4,14,14,427,622,184,325,11,3,4,50,1,4,42,lr,C=10.0;class_weight=None,10.0,,0.4945652173913043,0.0,0.0,0.0,0.45355191256830596,0.009900990099009901,0.4656601303695046,,,,,,
all,2,14,0,427,713,184,348,11,3,4,51,1,2,42,xgb,learning_rate=0.05;max_depth=6;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.6358695652173914,0.0,0.0,0.0,0.4207650273224044,0.009345794392523364,0.23319819581001316,200.0,6.0,,0.05,0.7,auto
all,3,3,7,427,871,217,396,13,3,4,53,1,5,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=200,,balanced,0.9953917050691244,0.0,0.0,0.0,0.5185185185185185,0.009174311926605505,0.03561416259040009,200.0,10.0,1.0,,,
all,4,14,7,427,671,184,339,11,3,4,50,1,4,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.45652173913043476,0.0,0.0,0.0,0.4098360655737705,0.009174311926605505,0.5223577696519026,,,,,,
all,2,7,14,427,716,203,358,13,3,4,52,1,3,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=5;n_estimators=200,,balanced,0.9852216748768473,0.0,0.0,0.0,0.4653465346534653,0.00909090909090909,0.09804457181059835,200.0,6.0,5.0,,,
all,4,7,14,427,723,203,361,13,3,4,51,1,5,42,rf,class_weight=balanced;max_depth=10;min_samples_leaf=1;n_estimators=500,,balanced,0.9950738916256158,0.0,0.0,0.0,0.46039603960396036,0.009009009009009009,0.054297659369744324,500.0,10.0,1.0,,,
all,2,3,14,427,783,217,382,13,3,4,55,1,3,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=500,,balanced,0.9953917050691244,0.0,0.0,0.0,0.4398148148148148,0.007936507936507936,0.06852061204426553,500.0,6.0,1.0,,,
all,4,3,0,427,962,217,410,13,3,4,54,1,5,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.8986175115207373,0.0,0.0,0.0,0.40740740740740744,0.007751937984496124,0.09287417467942811,,,,,,
all,3,14,0,427,710,184,350,11,3,4,48,1,4,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.532608695652174,0.0,0.0,0.0,0.3005464480874317,0.007751937984496124,0.4318691950436821,,,,,,
all,3,14,14,427,616,184,324,11,3,4,48,1,4,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.2717391304347826,0.007407407407407408,1.0,0.014705882352941176,0.2896174863387978,0.007633587786259542,0.6840894499549741,,,,,,
all,4,14,0,427,712,184,350,11,3,4,50,1,4,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.5543478260869565,0.0,0.0,0.0,0.27322404371584696,0.007462686567164179,0.42464592182181504,,,,,,
all,3,14,7,427,665,184,338,11,3,4,48,1,4,42,lr,C=10.0;class_weight=None,10.0,,0.43478260869565216,0.0,0.0,0.0,0.26775956284153,0.007407407407407408,0.5185224430787972,,,,,,
all,2,14,7,427,664,184,336,11,3,4,51,1,2,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.47282608695652173,0.0,0.0,0.0,0.2622950819672131,0.007352941176470588,0.3330134231475305,200.0,3.0,,0.05,0.7,auto
all,2,14,14,427,615,184,322,11,3,4,51,1,2,42,xgb,learning_rate=0.05;max_depth=6;n_estimators=500;scale_pos_weight=auto;subsample=0.7,,,0.592391304347826,0.0,0.0,0.0,0.2568306010928961,0.0072992700729927005,0.2954109801259983,500.0,6.0,,0.05,0.7,auto
all,2,14,0,427,713,184,348,11,3,4,51,1,2,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.4891304347826087,0.0,0.0,0.0,0.2513661202185792,0.007246376811594203,0.46792474871109174,,,,,,
all,3,3,14,427,785,217,384,13,3,4,53,1,5,42,rf,class_weight=balanced;max_depth=6;min_samples_leaf=1;n_estimators=500,,balanced,0.9953917050691244,0.0,0.0,0.0,0.37962962962962965,0.007194244604316547,0.07231344518751033,500.0,6.0,1.0,,,
all,4,3,7,427,876,217,397,13,3,4,54,1,5,42,lr,C=10.0;class_weight=None,10.0,,0.9262672811059908,0.0,0.0,0.0,0.3564814814814815,0.007142857142857143,0.06374280220130978,,,,,,
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=1.0;subsample=1.0,,,0.9953917050691244,0.0,0.0,0.0,0.3472222222222222,0.00684931506849315,0.009756376042124988,200.0,3.0,,0.05,1.0,1.0
all,2,14,14,427,615,184,322,11,3,4,51,1,2,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.22826086956521738,0.0,0.0,0.0,0.20765027322404372,0.00684931506849315,0.7173913633261119,,,,,,
all,4,3,0,427,962,217,410,13,3,4,54,1,5,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.9631336405529954,0.0,0.0,0.0,0.3333333333333333,0.006711409395973154,0.036595699129334414,200.0,3.0,,0.05,0.7,auto
all,2,14,7,427,664,184,336,11,3,4,51,1,2,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.27717391304347827,0.0,0.0,0.0,0.180327868852459,0.006622516556291391,0.6691342211602844,,,,,,
all,3,7,0,427,854,203,386,13,3,4,49,1,5,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.7832512315270936,0.0,0.0,0.0,0.25742574257425743,0.006578947368421052,0.1986533531051217,,,,,,
all,4,7,7,427,783,203,373,13,3,4,51,1,5,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.7536945812807881,0.0,0.0,0.0,0.25742574257425743,0.006578947368421052,0.22041278238200385,,,,,,
all,4,7,0,427,856,203,386,13,3,4,51,1,5,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.7389162561576355,0.0,0.0,0.0,0.23267326732673266,0.006369426751592357,0.23951277681768873,,,,,,
all,4,3,14,427,789,217,385,13,3,4,54,1,5,42,lr,C=10.0;class_weight=None,10.0,,0.8433179723502304,0.0,0.0,0.0,0.2685185185185185,0.006289308176100629,0.13215653237559452,,,,,,
all,2,7,0,427,857,203,384,13,3,4,52,1,3,42,lr,C=1.0;class_weight=balanced,1.0,balanced,0.7438423645320197,0.0,0.0,0.0,0.20792079207920788,0.006172839506172839,0.20371647108140517,,,,,,
all,3,3,0,427,961,217,410,13,3,4,53,1,5,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=1.0;subsample=1.0,,,0.9953917050691244,0.0,0.0,0.0,0.2638888888888889,0.006097560975609756,0.014629836273724293,200.0,3.0,,0.05,1.0,1.0
all,3,7,7,427,777,203,372,13,3,4,49,1,5,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.7586206896551724,0.0,0.0,0.0,0.19801980198019797,0.006097560975609756,0.2153096008566408,,,,,,
all,3,7,0,427,854,203,386,13,3,4,49,1,5,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=1.0,,,0.8866995073891626,0.0,0.0,0.0,0.19306930693069302,0.006060606060606061,0.07846397266778495,200.0,3.0,,0.05,1.0,auto
all,2,3,0,427,963,217,408,13,3,4,55,1,3,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.8018433179723502,0.0,0.0,0.0,0.25462962962962965,0.006024096385542169,0.18399854780394065,,,,,,
all,2,7,0,427,857,203,384,13,3,4,52,1,3,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=1.0,,,0.9310344827586207,0.0,0.0,0.0,0.17821782178217827,0.005952380952380952,0.06143189805344878,200.0,3.0,,0.05,1.0,auto
all,3,3,0,427,961,217,410,13,3,4,53,1,5,42,lr,C=1.0;class_weight=balanced,1.0,balanced,0.8110599078341014,0.0,0.0,0.0,0.2222222222222222,0.005917159763313609,0.1498655109207514,,,,,,
all,2,7,7,427,773,203,370,13,3,4,52,1,3,42,lr,C=10.0;class_weight=None,10.0,,0.7487684729064039,0.0,0.0,0.0,0.1633663366336634,0.005847953216374269,0.20867978337991866,,,,,,
all,3,7,7,427,777,203,372,13,3,4,49,1,5,42,xgb,learning_rate=0.1;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.9802955665024631,0.0,0.0,0.0,0.15841584158415845,0.005813953488372093,0.01633554586900571,200.0,3.0,,0.1,0.7,auto
all,3,3,14,427,785,217,384,13,3,4,53,1,5,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.7327188940092166,0.0,0.0,0.0,0.21759259259259262,0.005747126436781609,0.2396692894040461,,,,,,
all,4,3,7,427,876,217,397,13,3,4,54,1,5,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=1.0;subsample=1.0,,,0.9953917050691244,0.0,0.0,0.0,0.19907407407407407,0.0056179775280898875,0.008117550901781888,200.0,3.0,,0.05,1.0,1.0
all,2,3,7,427,867,217,394,13,3,4,55,1,3,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.7511520737327189,0.0,0.0,0.0,0.18055555555555558,0.0056179775280898875,0.2170375778349246,,,,,,
all,3,3,7,427,871,217,396,13,3,4,53,1,5,42,lr,C=10.0;class_weight=None,10.0,,0.847926267281106,0.0,0.0,0.0,0.18055555555555558,0.0056179775280898875,0.13592461985826634,,,,,,
all,2,3,7,427,867,217,394,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=1.0;subsample=1.0,,,0.9907834101382489,0.0,0.0,0.0,0.18518518518518517,0.0055248618784530384,0.012948879446357102,200.0,3.0,,0.05,1.0,1.0
all,2,3,14,427,783,217,382,13,3,4,55,1,3,42,lr,C=10.0;class_weight=balanced,10.0,balanced,0.7050691244239631,0.0,0.0,0.0,0.15740740740740744,0.00546448087431694,0.26162542739421213,,,,,,
all,4,7,14,427,723,203,361,13,3,4,51,1,5,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=1.0,,,0.9113300492610837,0.0,0.0,0.0,0.08910891089108908,0.005376344086021506,0.06815423091088577,200.0,3.0,,0.05,1.0,auto
all,2,7,7,427,773,203,370,13,3,4,52,1,3,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=auto;subsample=1.0,,,0.8226600985221675,0.0,0.0,0.0,0.08415841584158412,0.0053475935828877,0.10892864585135974,200.0,3.0,,0.05,1.0,auto
all,4,3,14,427,789,217,385,13,3,4,54,1,5,42,xgb,learning_rate=0.1;max_depth=3;n_estimators=200;scale_pos_weight=1.0;subsample=1.0,,,0.9953917050691244,0.0,0.0,0.0,0.14814814814814814,0.005291005291005291,0.0066804972758449785,200.0,3.0,,0.1,1.0,1.0
all,2,7,14,427,716,203,358,13,3,4,52,1,3,42,lr,C=1.0;class_weight=balanced,1.0,balanced,0.3054187192118227,0.0,0.0,0.0,0.06435643564356436,0.005235602094240838,0.6243785403760933,,,,,,
all,3,7,14,427,717,203,360,13,3,4,49,1,5,42,xgb,learning_rate=0.1;max_depth=6;n_estimators=200;scale_pos_weight=auto;subsample=0.7,,,0.9211822660098522,0.0,0.0,0.0,0.054455445544554504,0.0051813471502590676,0.07106384878374328,200.0,6.0,,0.1,0.7,auto
all,3,3,7,427,871,217,396,13,3,4,53,1,5,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=1.0;subsample=1.0,,,0.9953917050691244,0.0,0.0,0.0,0.125,0.005154639175257732,0.013283302329265757,200.0,3.0,,0.05,1.0,1.0
all,3,7,14,427,717,203,360,13,3,4,49,1,5,42,lr,C=1.0;class_weight=balanced,1.0,balanced,0.3891625615763547,0.0,0.0,0.0,0.04950495049504955,0.005154639175257732,0.5437259692469312,,,,,,
all,2,3,14,427,783,217,382,13,3,4,55,1,3,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=1.0;subsample=1.0,,,0.9953917050691244,0.0,0.0,0.0,0.11574074074074076,0.00510204081632653,0.013492659318794927,200.0,3.0,,0.05,1.0,1.0
all,3,3,14,427,785,217,384,13,3,4,53,1,5,42,xgb,learning_rate=0.05;max_depth=3;n_estimators=200;scale_pos_weight=1.0;subsample=0.7,,,0.9953917050691244,0.0,0.0,0.0,0.1111111111111111,0.005076142131979695,0.009870594172900357,200.0,3.0,,0.05,0.7,1.0
all,4,7,14,427,723,203,361,13,3,4,51,1,5,42,lr,C=0.01;class_weight=balanced,0.01,balanced,0.458128078817734,0.0,0.0,0.0,0.034653465346534684,0.005076142131979695,0.34957102574857,,,,,,
all,2,7,14,427,716,203,358,13,3,4,52,1,3,42,xgb,learning_rate=0.1;max_depth=3;n_estimators=500;scale_pos_weight=1.0;subsample=1.0,,,0.9950738916256158,0.0,0.0,0.0,0.01980198019801982,0.005,0.00843145401171041,500.0,3.0,,0.1,1.0,1.0
